desc_id,vector_id,sample_k,sent_id,pair_id,frame,entity,lang,mention_script,cell_type,site,mse,cos,desc_lang,desc_len
GEO-02|en|baseline|latin#003#siteB#k3,GEO-02|en|baseline|latin#003#siteB,3,GEO-02|en|baseline|latin#003,GEO-02,GEO,Taiwan,en,latin,baseline,B,0.008125,0.995937,en,733
GEO-02|en|baseline|latin#003#siteB#k4,GEO-02|en|baseline|latin#003#siteB,4,GEO-02|en|baseline|latin#003,GEO-02,GEO,Taiwan,en,latin,baseline,B,0.008702,0.995649,en,737
POL-INT-01|zh|baseline|hanzi#004#siteA#k0,POL-INT-01|zh|baseline|hanzi#004#siteA,0,POL-INT-01|zh|baseline|hanzi#004,POL-INT-01,POL-INT,Taiwan,zh,hanzi,baseline,A,0.011507,0.994247,en,592
POL-INT-01|zh|baseline|hanzi#004#siteA#k1,POL-INT-01|zh|baseline|hanzi#004#siteA,1,POL-INT-01|zh|baseline|hanzi#004,POL-INT-01,POL-INT,Taiwan,zh,hanzi,baseline,A,0.011816,0.994092,en,586
POL-INT-01|zh|baseline|hanzi#004#siteA#k2,POL-INT-01|zh|baseline|hanzi#004#siteA,2,POL-INT-01|zh|baseline|hanzi#004,POL-INT-01,POL-INT,Taiwan,zh,hanzi,baseline,A,0.011208,0.994396,en,544
POL-INT-01|zh|baseline|hanzi#004#siteA#k3,POL-INT-01|zh|baseline|hanzi#004#siteA,3,POL-INT-01|zh|baseline|hanzi#004,POL-INT-01,POL-INT,Taiwan,zh,hanzi,baseline,A,0.01134,0.99433,en,563
POL-INT-01|zh|baseline|hanzi#004#siteA#k4,POL-INT-01|zh|baseline|hanzi#004#siteA,4,POL-INT-01|zh|baseline|hanzi#004,POL-INT-01,POL-INT,Taiwan,zh,hanzi,baseline,A,0.012422,0.993789,en,608
POL-INT-01|zh|baseline|hanzi#004#siteB#k0,POL-INT-01|zh|baseline|hanzi#004#siteB,0,POL-INT-01|zh|baseline|hanzi#004,POL-INT-01,POL-INT,Taiwan,zh,hanzi,baseline,B,0.006877,0.996562,en,600
POL-INT-01|zh|baseline|hanzi#004#siteB#k1,POL-INT-01|zh|baseline|hanzi#004#siteB,1,POL-INT-01|zh|baseline|hanzi#004,POL-INT-01,POL-INT,Taiwan,zh,hanzi,baseline,B,0.006626,0.996687,en,601
POL-INT-01|zh|baseline|hanzi#004#siteB#k2,POL-INT-01|zh|baseline|hanzi#004#siteB,2,POL-INT-01|zh|baseline|hanzi#004,POL-INT-01,POL-INT,Taiwan,zh,hanzi,baseline,B,0.007042,0.996479,en,595
