desc_id,vector_id,sample_k,sent_id,pair_id,frame,entity,lang,mention_script,cell_type,site,mse,cos,desc_lang,desc_len
TRAV-07|en|baseline|latin#003#siteB#k0,TRAV-07|en|baseline|latin#003#siteB,0,TRAV-07|en|baseline|latin#003,TRAV-07,TRAV,Taiwan,en,latin,baseline,B,0.0048,0.9976,en,714
TRAV-07|en|baseline|latin#003#siteB#k1,TRAV-07|en|baseline|latin#003#siteB,1,TRAV-07|en|baseline|latin#003,TRAV-07,TRAV,Taiwan,en,latin,baseline,B,0.005449,0.997275,en,724
TRAV-07|en|baseline|latin#003#siteB#k2,TRAV-07|en|baseline|latin#003#siteB,2,TRAV-07|en|baseline|latin#003,TRAV-07,TRAV,Taiwan,en,latin,baseline,B,0.004979,0.997511,en,748
TRAV-07|en|baseline|latin#003#siteB#k3,TRAV-07|en|baseline|latin#003#siteB,3,TRAV-07|en|baseline|latin#003,TRAV-07,TRAV,Taiwan,en,latin,baseline,B,0.005636,0.997181,en,692
TRAV-07|en|baseline|latin#003#siteB#k4,TRAV-07|en|baseline|latin#003#siteB,4,TRAV-07|en|baseline|latin#003,TRAV-07,TRAV,Taiwan,en,latin,baseline,B,0.005268,0.997366,en,725
CUL-C04-JP|en|baseline|latin#004#siteA#k0,CUL-C04-JP|en|baseline|latin#004#siteA,0,CUL-C04-JP|en|baseline|latin#004,CUL-C04-JP,CUL,Japan,en,latin,baseline,A,0.008669,0.995665,en,723
CUL-C04-JP|en|baseline|latin#004#siteA#k1,CUL-C04-JP|en|baseline|latin#004#siteA,1,CUL-C04-JP|en|baseline|latin#004,CUL-C04-JP,CUL,Japan,en,latin,baseline,A,0.009368,0.995316,en,707
CUL-C04-JP|en|baseline|latin#004#siteA#k2,CUL-C04-JP|en|baseline|latin#004#siteA,2,CUL-C04-JP|en|baseline|latin#004,CUL-C04-JP,CUL,Japan,en,latin,baseline,A,0.008362,0.995819,en,735
CUL-C04-JP|en|baseline|latin#004#siteA#k3,CUL-C04-JP|en|baseline|latin#004#siteA,3,CUL-C04-JP|en|baseline|latin#004,CUL-C04-JP,CUL,Japan,en,latin,baseline,A,0.007503,0.996248,en,706
CUL-C04-JP|en|baseline|latin#004#siteA#k4,CUL-C04-JP|en|baseline|latin#004#siteA,4,CUL-C04-JP|en|baseline|latin#004,CUL-C04-JP,CUL,Japan,en,latin,baseline,A,0.008729,0.995636,en,704
CUL-C04-JP|en|baseline|latin#004#siteB#k0,CUL-C04-JP|en|baseline|latin#004#siteB,0,CUL-C04-JP|en|baseline|latin#004,CUL-C04-JP,CUL,Japan,en,latin,baseline,B,0.006437,0.996781,en,724
CUL-C04-JP|en|baseline|latin#004#siteB#k1,CUL-C04-JP|en|baseline|latin#004#siteB,1,CUL-C04-JP|en|baseline|latin#004,CUL-C04-JP,CUL,Japan,en,latin,baseline,B,0.006835,0.996583,en,706
CUL-C04-JP|en|baseline|latin#004#siteB#k2,CUL-C04-JP|en|baseline|latin#004#siteB,2,CUL-C04-JP|en|baseline|latin#004,CUL-C04-JP,CUL,Japan,en,latin,baseline,B,0.006943,0.996528,en,723
CUL-C04-JP|en|baseline|latin#004#siteB#k3,CUL-C04-JP|en|baseline|latin#004#siteB,3,CUL-C04-JP|en|baseline|latin#004,CUL-C04-JP,CUL,Japan,en,latin,baseline,B,0.005531,0.997234,en,701
CUL-C04-JP|en|baseline|latin#004#siteB#k4,CUL-C04-JP|en|baseline|latin#004#siteB,4,CUL-C04-JP|en|baseline|latin#004,CUL-C04-JP,CUL,Japan,en,latin,baseline,B,0.0064,0.9968,en,712
HIST-03|en|baseline|latin#005#siteA#k0,HIST-03|en|baseline|latin#005#siteA,0,HIST-03|en|baseline|latin#005,HIST-03,HIST,Taiwan,en,latin,baseline,A,0.010184,0.994908,en,675
HIST-03|en|baseline|latin#005#siteA#k1,HIST-03|en|baseline|latin#005#siteA,1,HIST-03|en|baseline|latin#005,HIST-03,HIST,Taiwan,en,latin,baseline,A,0.009897,0.995051,en,670
HIST-03|en|baseline|latin#005#siteA#k2,HIST-03|en|baseline|latin#005#siteA,2,HIST-03|en|baseline|latin#005,HIST-03,HIST,Taiwan,en,latin,baseline,A,0.010237,0.994881,en,674
