sent_id,lang,mention,n_tokens,site_a_idx,site_b_idx,mention_n_subtokens,warnings
ECON-C05-JP|en|baseline|latin#233,en,Japan,44,22,44,1,
ECON-C05-IS|zh|baseline|hanzi#234,zh,冰島,48,29,48,2,
ECON-C05-IS|en|baseline|latin#235,en,Iceland,41,22,41,1,
ECON-C06-JP|zh|baseline|hanzi#236,zh,日本,52,31,52,1,
ECON-C06-JP|en|baseline|latin#237,en,Japan,59,29,59,1,
ECON-C06-IS|zh|baseline|hanzi#238,zh,冰島,49,30,49,2,
ECON-C06-IS|en|baseline|latin#239,en,Iceland,56,27,56,1,
CUL-C01-JP|zh|baseline|hanzi#240,zh,日本,38,19,38,1,
CUL-C01-JP|en|baseline|latin#241,en,Japan,38,22,38,1,
CUL-C01-IS|zh|baseline|hanzi#242,zh,冰島,45,17,45,2,
CUL-C01-IS|en|baseline|latin#243,en,Iceland,39,17,39,1,
CUL-C02-JP|zh|baseline|hanzi#244,zh,日本,41,21,41,1,
CUL-C02-JP|en|baseline|latin#245,en,Japan,39,20,39,1,
CUL-C02-IS|zh|baseline|hanzi#246,zh,冰島,42,24,42,2,
CUL-C02-IS|en|baseline|latin#247,en,Iceland,34,21,34,1,
CUL-C03-JP|zh|baseline|hanzi#248,zh,日本,57,35,57,1,
CUL-C03-JP|en|baseline|latin#249,en,Japan,51,31,51,1,
CUL-C03-IS|zh|baseline|hanzi#250,zh,冰島,49,30,49,2,
CUL-C03-IS|en|baseline|latin#251,en,Iceland,46,25,46,1,
CUL-C04-JP|zh|baseline|hanzi#252,zh,日本,48,27,48,1,
CUL-C04-JP|en|baseline|latin#253,en,Japan,40,26,40,1,
CUL-C04-IS|zh|baseline|hanzi#254,zh,冰島,49,32,49,2,
CUL-C04-IS|en|baseline|latin#255,en,Iceland,43,25,43,1,
CUL-C05-JP|zh|baseline|hanzi#256,zh,日本,53,30,53,1,
CUL-C05-JP|en|baseline|latin#257,en,Japan,47,25,47,1,
CUL-C05-IS|zh|baseline|hanzi#258,zh,冰島,51,31,51,2,
CUL-C05-IS|en|baseline|latin#259,en,Iceland,51,30,51,1,
CUL-C06-JP|zh|baseline|hanzi#260,zh,日本,58,44,58,1,
CUL-C06-JP|en|baseline|latin#261,en,Japan,47,29,47,1,
CUL-C06-IS|zh|baseline|hanzi#262,zh,冰島,55,40,55,2,
CUL-C06-IS|en|baseline|latin#263,en,Iceland,46,29,46,1,
TRAV-C01-JP|zh|baseline|hanzi#264,zh,日本,54,33,54,1,
TRAV-C01-JP|en|baseline|latin#265,en,Japan,54,33,54,1,
TRAV-C01-IS|zh|baseline|hanzi#266,zh,冰島,66,45,66,2,
TRAV-C01-IS|en|baseline|latin#267,en,Iceland,54,37,54,1,
TRAV-C02-JP|zh|baseline|hanzi#268,zh,日本,55,31,55,1,
TRAV-C02-JP|en|baseline|latin#269,en,Japan,52,30,52,1,
TRAV-C02-IS|zh|baseline|hanzi#270,zh,冰島,57,32,57,2,
TRAV-C02-IS|en|baseline|latin#271,en,Iceland,55,30,55,1,
TRAV-C03-JP|zh|baseline|hanzi#272,zh,日本,48,27,48,1,
TRAV-C03-JP|en|baseline|latin#273,en,Japan,50,29,50,1,
TRAV-C03-IS|zh|baseline|hanzi#274,zh,冰島,50,30,50,2,
TRAV-C03-IS|en|baseline|latin#275,en,Iceland,49,28,49,1,
TRAV-C04-JP|zh|baseline|hanzi#276,zh,日本,36,19,36,1,
TRAV-C04-JP|en|baseline|latin#277,en,Japan,44,26,44,1,
TRAV-C04-IS|zh|baseline|hanzi#278,zh,冰島,45,23,45,2,
TRAV-C04-IS|en|baseline|latin#279,en,Iceland,44,22,44,1,
TRAV-C05-JP|zh|baseline|hanzi#280,zh,日本,57,39,57,1,
TRAV-C05-JP|en|baseline|latin#281,en,Japan,62,38,62,1,
TRAV-C05-IS|zh|baseline|hanzi#282,zh,冰島,65,41,65,2,
TRAV-C05-IS|en|baseline|latin#283,en,Iceland,55,33,55,1,
TRAV-C06-JP|zh|baseline|hanzi#284,zh,日本,62,37,62,1,
TRAV-C06-JP|en|baseline|latin#285,en,Japan,65,32,65,1,
TRAV-C06-IS|zh|baseline|hanzi#286,zh,冰島,57,33,57,2,
TRAV-C06-IS|en|baseline|latin#287,en,Iceland,58,27,58,1,
LIFE-C01-JP|zh|baseline|hanzi#288,zh,日本,77,43,77,1,
LIFE-C01-JP|en|baseline|latin#289,en,Japan,78,47,78,1,
LIFE-C01-IS|zh|baseline|hanzi#290,zh,冰島,66,41,66,2,
LIFE-C01-IS|en|baseline|latin#291,en,Iceland,67,41,67,1,
LIFE-C02-JP|zh|baseline|hanzi#292,zh,日本,79,38,79,1,
LIFE-C02-JP|en|baseline|latin#293,en,Japan,83,39,83,1,
LIFE-C02-IS|zh|baseline|hanzi#294,zh,冰島,80,39,80,2,
LIFE-C02-IS|en|baseline|latin#295,en,Iceland,75,41,75,1,
LIFE-C03-JP|zh|baseline|hanzi#296,zh,日本,83,44,83,1,
LIFE-C03-JP|en|baseline|latin#297,en,Japan,75,37,75,1,
LIFE-C03-IS|zh|baseline|hanzi#298,zh,冰島,67,32,67,2,
LIFE-C03-IS|en|baseline|latin#299,en,Iceland,76,40,76,1,
LIFE-C04-JP|zh|baseline|hanzi#300,zh,日本,63,31,63,1,
LIFE-C04-JP|en|baseline|latin#301,en,Japan,71,34,71,1,
LIFE-C04-IS|zh|baseline|hanzi#302,zh,冰島,64,28,64,2,
LIFE-C04-IS|en|baseline|latin#303,en,Iceland,70,29,70,1,
LIFE-C05-JP|zh|baseline|hanzi#304,zh,日本,64,30,64,1,
LIFE-C05-JP|en|baseline|latin#305,en,Japan,62,23,62,1,
LIFE-C05-IS|zh|baseline|hanzi#306,zh,冰島,72,29,72,2,
LIFE-C05-IS|en|baseline|latin#307,en,Iceland,71,26,71,1,
LIFE-C06-JP|zh|baseline|hanzi#308,zh,日本,75,29,75,1,
LIFE-C06-JP|en|baseline|latin#309,en,Japan,82,31,82,1,
LIFE-C06-IS|zh|baseline|hanzi#310,zh,冰島,83,40,83,2,
LIFE-C06-IS|en|baseline|latin#311,en,Iceland,81,42,81,1,
ECON-01|zh|baseline|hanzi#312,zh,台灣,32,17,32,1,
ECON-01|zh|codeswitch|latin#313,zh,Taiwan,32,17,32,1,
ECON-01|en|codeswitch|hanzi#314,en,台灣,34,17,34,1,
ECON-01|en|baseline|latin#315,en,Taiwan,33,16,33,1,
ECON-02|zh|baseline|hanzi#316,zh,台灣,29,15,29,1,
ECON-02|zh|codeswitch|latin#317,zh,Taiwan,29,15,29,1,
ECON-02|en|codeswitch|hanzi#318,en,台灣,29,15,29,1,
ECON-02|en|baseline|latin#319,en,Taiwan,28,14,28,1,
ECON-03|zh|baseline|hanzi#320,zh,台灣,41,24,41,1,
ECON-03|zh|codeswitch|latin#321,zh,Taiwan,41,24,41,1,
ECON-03|en|codeswitch|hanzi#322,en,台灣,45,28,45,1,
ECON-03|en|baseline|latin#323,en,Taiwan,44,27,44,1,
ECON-04|zh|baseline|hanzi#324,zh,台灣,37,22,37,1,
ECON-04|zh|codeswitch|latin#325,zh,Taiwan,37,22,37,1,
ECON-04|en|codeswitch|hanzi#326,en,台灣,36,20,36,1,
ECON-04|en|baseline|latin#327,en,Taiwan,35,19,35,1,
ECON-05|zh|baseline|hanzi#328,zh,台灣,41,24,41,1,
ECON-05|zh|codeswitch|latin#329,zh,Taiwan,41,24,41,1,
ECON-05|en|codeswitch|hanzi#330,en,台灣,39,21,39,1,
ECON-05|en|baseline|latin#331,en,Taiwan,38,20,38,1,
ECON-06|zh|baseline|hanzi#332,zh,台灣,44,28,44,1,
ECON-06|zh|codeswitch|latin#333,zh,Taiwan,44,28,44,1,
ECON-06|en|codeswitch|hanzi#334,en,台灣,45,29,45,1,
ECON-06|en|baseline|latin#335,en,Taiwan,44,28,44,1,
GEO-01|zh|baseline|hanzi#336,zh,台灣,36,14,36,1,
GEO-01|zh|codeswitch|latin#337,zh,Taiwan,36,14,36,1,
GEO-01|en|codeswitch|hanzi#338,en,台灣,36,15,36,1,
GEO-01|en|baseline|latin#339,en,Taiwan,35,14,35,1,
GEO-02|zh|baseline|hanzi#340,zh,台灣,22,11,22,1,
GEO-02|zh|codeswitch|latin#341,zh,Taiwan,22,11,22,1,
GEO-02|en|codeswitch|hanzi#342,en,台灣,24,13,24,1,
GEO-02|en|baseline|latin#343,en,Taiwan,23,12,23,1,
GEO-03|zh|baseline|hanzi#344,zh,台灣,40,20,40,1,
GEO-03|zh|codeswitch|latin#345,zh,Taiwan,40,20,40,1,
GEO-03|en|codeswitch|hanzi#346,en,台灣,48,19,48,1,
GEO-03|en|baseline|latin#347,en,Taiwan,47,18,47,1,
GEO-04|zh|baseline|hanzi#348,zh,台灣,47,23,47,1,
GEO-04|zh|codeswitch|latin#349,zh,Taiwan,47,23,47,1,
GEO-04|en|codeswitch|hanzi#350,en,台灣,46,21,46,1,
GEO-04|en|baseline|latin#351,en,Taiwan,45,20,45,1,
GEO-05|zh|baseline|hanzi#352,zh,台灣,58,36,58,1,
GEO-05|zh|codeswitch|latin#353,zh,Taiwan,58,36,58,1,
GEO-05|en|codeswitch|hanzi#354,en,台灣,57,34,57,1,
GEO-05|en|baseline|latin#355,en,Taiwan,56,33,56,1,
GEO-06|zh|baseline|hanzi#356,zh,台灣,51,29,51,1,
GEO-06|zh|codeswitch|latin#357,zh,Taiwan,51,29,51,1,
GEO-06|en|codeswitch|hanzi#358,en,台灣,50,27,50,1,
GEO-06|en|baseline|latin#359,en,Taiwan,49,26,49,1,
